Sr. No,Symbol,Name of the company
1123,TIMETECHNO,Time Technoplast Limited 
1124,TIMKEN,Timken India Limited 
1125,TINPLATE,The Tinplate Company of India Limited 
1126,TIPSINDLTD,TIPS Industries Limited 
1127,TIRUMALCHM,Thirumalai Chemicals Limited 
1128,TITAN,Titan Industries Limited 
1129,TNPETRO,Tamilnadu PetroProducts Limited 
1130,TNPL,Tamil Nadu Newsprint & Papers Limited 
1131,TORNTPHARM,Torrent Pharmaceuticals Limited 
1132,TORNTPOWER,Torrent Power Limited 
1133,TRENT,Trent Limited 
1134,TRF,TRF Limited 
1135,TRICOM,Tricom India Limited 
1136,TRIGYN,Trigyn Technologies Limited 
1137,TRIL,Transformers And Rectifiers (India) Limited 
1138,TRIVENI,Triveni Engineering & Industries Limited 
1139,TTKHEALTH,TTK Healthcare Limited 
1140,TTKPRESTIG,TTK Prestige Limited 
1141,TTL,T T Limited 
1142,TTML,Tata Teleservices (Maharashtra) Limited 
1143,TUBEINVEST,Tube Investments of India Limited 
1144,TRIDENT,Trident Limited 
1145,TULIP,Tulip Telecom Limited 
1146,TULSI,Tulsi Extrusions Limited 
1147,TVSELECT,TVS Electronics Limited 
1148,TVSMOTOR,TVS Motor Company Limited 
1149,TVSSRICHAK,TVS Srichakra Limited 
1150,TVTODAY,TV Today Network Limited 
1151,TWILITAKA,Twilight Litaka Pharma Limited 
1152,TWL,Titagarh Wagons Limited 
1153,UBENGG,UB Engineering Limited 
1154,UBHOLDINGS,United Breweries (Holdings) Limited 
1155,UCALFUEL,Ucal Fuel Systems Limited 
1156,UCOBANK,UCO Bank 
1157,UFLEX,UFLEX Limited 
1158,UGARSUGAR,The Ugar Sugar Works Limited 
1159,ULTRACEMCO,UltraTech Cement Limited 
1160,UMESLTD,Usha Martin Education & Solutions Limited 
1161,UNICHEMLAB,Unichem Laboratories Limited 
1162,UNIENTER,Uniphos Enterprises Limited 
1163,UNIONBANK,Union Bank of India 
1164,UNIPHOS,United Phosphorus Limited 
1165,UNITECH,Unitech Limited 
1166,UBL,United Breweries Limited 
1167,UNITY,Unity Infraprojects Limited 
1168,UNIVCABLES,Universal Cables Limited 
1169,UNITEDBNK,United Bank of India 
1170,UPERGANGES,Upper Ganges Sugar & Industries Limited 
1171,USHAMART,Usha Martin Limited 
1172,USHERAGRO,Usher Agro Limited 
1173,UTTAMSTL,Uttam Galva Steels Limited 
1174,UTTAMSUGAR,Uttam Sugar Mills Limited 
1175,UTVSOF,UTV Software Communications Limited 
1176,VAIBHAVGEM,Vaibhav Gems Limited 
1177,VAKRANSOFT,Vakrangee Softwares Limited 
1178,VALECHAENG,Valecha Engineering Limited 
1179,VALUEIND,Value Industries Limited 
1180,VARDHACRLC,Vardhman Acrylics Limited 
1181,VARDMNPOLY,Vardhman Polytex Limited 
1182,VARUN,Varun Industries Limited 
1183,VARUNSHIP,Varun Shipping Company Limited 
1184,VASCONEQ,Vascon Engineers Limited 
1185,VENKEYS,Venky's (India) Limited 
1186,VENUSREM,Venus Remedies Limited 
1187,VESUVIUS,Vesuvius India Limited 
1188,VGUARD,V-Guard Industries Limited 
1189,VHL,Vardhman Holdings Limited 
1190,VICEROY,Viceroy Hotels Limited 
1191,VIDEOIND,Videocon Industries Limited 
1192,VIJAYABANK,Vijaya Bank 
1193,VIJSHAN,Vijay Shanthi Builders Limited 
1194,VIKASHMET,Vikash Metal & Power Limited 
1195,VIMTALABS,Vimta Labs Limited 
1196,VINATIORGA,Vinati Organics Limited 
1197,VINDHYATEL,Vindhya Telelinks Limited 
1198,VIPIND,VIP Industries Limited 
1199,VISAKAIND,Visaka Industries Limited 
1200,VISASTEEL,Visa Steel Limited 
1201,VISESHINFO,Visesh Infotecnics Limited 
1202,VISHALRET,Vishal Retail Limited 
1203,VIVIMEDLAB,Vivimed Labs Limited 
1204,VLSFINANCE,VLS Finance Limited 
1205,VOLTAMP,Voltamp Transformers Limited 
1206,VOLTAS,Voltas Limited 
1207,VSTIND,VST Industries Limited 
1208,VTL,Vardhman Textiles Limited 
1209,WABAG,VA Tech Wabag Limited 
1210,WABCO-TVS,WABCO-TVS (INDIA) Limited 
1211,WALCHANNAG,Walchandnagar Industries Limited 
1212,WANBURY,Wanbury Limited 
1213,WEBELSOLAR,Websol Energy Systems Limited 
1214,WEIZMANIND,Weizmann Limited 
1215,WELCORP,Welspun Corp Limited 
1216,WELINV,Welspun Investments and Commercials Limited 
1217,WELPROJ,Welspun Projects Limited 
1218,WELSPUNIND,Welspun India Limited 
1219,WENDT,Wendt (India) Limited 
1220,WHEELS,Wheels India Limited 
1221,WHIRLPOOL,Whirlpool of India Limited 
1222,WILLAMAGOR,Williamson Magor & Company Limited 
1223,WINDSOR,Windsor Machines Limited 
1224,WINSOMYARN,Winsome Yarns Limited 
1225,WIPRO,Wipro Limited 
1226,WSI,W S Industries (I) Limited 
1227,WSTCSTPAPR,West Coast Paper Mills Limited 
1228,WOCKPHARMA,Wockhardt Limited 
1229,WWIL,Wire and Wireless (India) Limited 
1230,WYETH,Wyeth Limited 
1231,XPROINDIA,Xpro India Limited 
1232,XLENERGY,XL Energy Limited 
1233,YESBANK,Yes Bank Limited 
1234,ZANDUREALT,Zandu Realty Limited 
1235,ZEEL,Zee Entertainment Enterprises Limited 
1236,ZEENEWS,Zee News Limited 
1237,ZENITHBIR,Zenith Birla (India) Limited 
1238,ZENITHCOMP,Zenith Computers Limited 
1239,ZENITHINFO,Zenith Infotech Limited 
1240,ZENSARTECH,Zensar Technologies Limited 
1241,ZICOM,Zicom Electronic Security Systems Limited 
1242,ZODIACLOTH,Zodiac Clothing Company Limited 
1243,ZUARIAGRO,Zuari Industries Limited 
1244,ZYDUSWELL,Zydus Wellness Limited 
1245,ZYLOG,Zylog Systems Limited 
